iter	Passed	Remaining
0	1	113
1	1	88
2	2	77
3	2	69
4	3	66
5	4	64
6	4	63
7	5	62
8	6	61
9	6	60
10	7	59
11	7	58
12	8	56
13	9	56
14	9	55
15	10	54
16	11	53
17	11	53
18	12	52
19	13	52
20	13	51
21	14	50
22	14	50
23	15	49
24	16	48
25	16	48
26	17	47
27	18	46
28	18	46
29	19	45
30	20	45
31	21	45
32	22	45
33	23	44
34	23	44
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	27	39
41	27	38
42	28	37
43	29	36
44	29	36
45	30	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	32
51	34	31
52	34	30
53	35	30
54	35	29
55	36	28
56	37	28
57	37	27
58	38	26
59	39	26
60	39	25
61	40	24
62	40	23
63	41	23
64	42	22
65	42	21
66	43	21
67	43	20
68	44	19
69	45	19
70	45	18
71	46	18
72	47	17
73	47	16
74	48	16
75	48	15
76	49	14
77	50	14
78	50	13
79	51	12
80	51	12
81	52	11
82	52	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	56	7
89	57	6
90	57	5
91	58	5
92	59	4
93	59	3
94	60	3
95	60	2
96	61	1
97	62	1
98	62	0
99	63	0
