iter	Passed	Remaining
0	133	133553
1	136	67889
2	139	46411
3	141	35297
4	143	28652
5	145	24152
6	147	20991
7	151	18732
8	154	16992
9	156	15526
10	158	14268
11	161	13269
12	163	12387
13	165	11671
14	168	11066
15	170	10490
16	172	9985
17	174	9539
18	176	9130
19	178	8766
20	181	8461
21	183	8139
22	184	7844
23	186	7582
24	188	7342
25	190	7125
26	192	6938
27	194	6745
28	197	6601
29	199	6447
30	201	6305
31	203	6156
32	205	6024
33	207	5887
34	209	5769
35	211	5662
36	213	5557
37	215	5467
38	218	5371
39	219	5274
40	221	5182
41	223	5095
42	225	5029
43	227	4952
44	229	4873
45	231	4795
46	232	4724
47	235	4663
48	237	4608
49	239	4554
50	241	4496
51	243	4440
52	246	4398
53	248	4346
54	249	4293
55	251	4239
56	253	4191
57	254	4138
58	256	4091
59	258	4045
60	260	4013
61	262	3967
62	263	3920
63	265	3875
64	266	3831
65	267	3786
66	268	3745
67	270	3705
68	271	3667
69	273	3633
70	275	3609
71	277	3573
72	278	3537
73	279	3502
74	281	3467
75	282	3434
76	283	3400
77	284	3368
78	286	3336
79	287	3306
80	289	3279
81	290	3254
82	291	3220
83	292	3194
84	294	3168
85	295	3144
86	297	3118
87	298	3090
88	299	3063
89	300	3037
90	301	3011
91	302	2986
92	303	2964
93	305	2942
94	306	2918
95	307	2893
96	308	2869
97	309	2846
98	310	2824
99	311	2801
100	312	2781
101	313	2759
102	314	2738
103	315	2717
104	316	2696
105	317	2676
106	318	2657
107	319	2642
108	320	2623
109	321	2605
110	323	2587
111	324	2570
112	325	2552
113	326	2535
114	327	2517
115	328	2501
116	329	2483
117	330	2466
118	330	2449
119	331	2433
120	332	2417
121	334	2407
122	335	2392
123	336	2377
124	337	2362
125	338	2347
126	339	2331
127	340	2317
128	341	2302
129	341	2288
130	342	2275
131	343	2261
132	344	2247
133	345	2235
134	346	2222
135	348	2212
136	349	2203
137	350	2190
138	351	2178
139	352	2166
140	353	2154
141	354	2140
142	355	2128
143	355	2116
144	356	2104
145	357	2092
146	358	2081
147	359	2069
148	360	2058
149	361	2046
150	362	2036
151	363	2028
152	364	2019
153	366	2011
154	367	2003
155	368	1994
156	369	1985
157	371	1978
158	372	1971
159	374	1964
160	374	1952
161	375	1944
162	377	1936
163	378	1929
164	380	1923
165	380	1914
166	382	1905
167	382	1896
168	383	1887
169	384	1879
170	385	1870
171	386	1861
172	387	1852
173	388	1843
174	389	1835
175	390	1826
176	390	1817
177	391	1809
178	393	1803
179	394	1796
180	395	1788
181	396	1780
182	397	1772
183	398	1765
184	398	1757
185	399	1749
